f,exp,phase
6893000000.0,86755736.81716926,72607561.68952334
6900000000.0,86790417.54697828,72637646.34223537
6907000000.0,86827668.20374149,72667728.79800458
6914000000.0,86867738.40320024,72697808.98955719
6921000000.0,86910026.9489728,72727886.84997903
6928000000.0,86950634.27987112,72757962.31271341
6935000000.0,86986652.10995555,72788035.31155892
6942000000.0,87017618.84510368,72818105.78066769
6949000000.0,87042031.15961803,72848173.65454331
6956000000.0,87059720.17927559,72878238.86803871
6963000000.0,87072306.69379488,72908301.35635443
6970000000.0,87079119.86332008,72938361.0550365
6977000000.0,87082207.57057813,72968417.89997452
6984000000.0,87082716.43022002,72998471.82739983
6991000000.0,87085836.98456605,73028522.77388339
6998000000.0,87091111.60980591,73058570.67633416
7005000000.0,87102536.99804991,73088615.47199693
7012000000.0,87117551.4325067,73118657.0984507
7019000000.0,87139739.71360348,73148695.49360664
7026000000.0,87166205.49442557,73178730.59570622
7033000000.0,87198777.50332445,73208762.34331961
7040000000.0,87232693.51497415,73238790.67534351
7047000000.0,87271621.90154964,73268815.53099959
7054000000.0,87309875.24667257,73298836.84983268
7061000000.0,87347534.17625934,73328854.5717087
7068000000.0,87381184.68887784,73358868.63681337
7075000000.0,87411599.22294442,73388878.98564982
7082000000.0,87438347.55671135,73418885.55903761
7089000000.0,87461228.93089159,73448888.29811022
7096000000.0,87481801.15450104,73478887.14431371
7103000000.0,87499450.76502423,73508882.03940499
7110000000.0,87518378.09789494,73538872.92545006
7117000000.0,87536115.37928084,73568859.74482234
7124000000.0,87555133.27770989,73598842.44020082
7131000000.0,87577667.44267371,73628820.9545687
7138000000.0,87602954.45745212,73658795.23121148
7145000000.0,87630183.04625317,73688765.21371521
7152000000.0,87660129.07376122,73718730.84596531
7159000000.0,87691257.55340753,73748692.07214437
7166000000.0,87722422.92902364,73778648.83673094
7173000000.0,87752591.5651804,73808601.08449762
7180000000.0,87779601.16961376,73838548.7605099
7187000000.0,87804968.13379626,73868491.81012386
7194000000.0,87827353.2357199,73898430.1789854
7201000000.0,87849019.65945822,73928363.81302805
7208000000.0,87869097.30612102,73958292.65847164
7215000000.0,87888800.98797794,73988216.66182087
7222000000.0,87905942.71318892,74018135.76986356
7229000000.0,87925143.73675013,74048049.92966925
7236000000.0,87944476.04829593,74077959.08858755
7243000000.0,87964977.50121544,74107863.19424677
7250000000.0,87983785.4751009,74137762.19455248
7257000000.0,88007460.69870304,74167656.03768563
7264000000.0,88030978.5674059,74197544.67210169
7271000000.0,88054612.29142343,74227428.04652852
7278000000.0,88076464.6426279,74257306.10996534
7285000000.0,88097736.42253204,74287178.81168114
7292000000.0,88119291.33563133,74317046.1012134
7299000000.0,88137149.96067938,74346907.92836621
7306000000.0,88152615.59632827,74376764.24320939
7313000000.0,88168372.79148787,74406614.99607667
7320000000.0,88183713.97988434,74436460.13756455
7327000000.0,88198312.39604151,74466299.61853063
7334000000.0,88214861.4442519,74496133.39009257
7341000000.0,88233919.2049091,74525961.40362637
7348000000.0,88257619.40634172,74555783.61076516
7355000000.0,88283128.74654014,74585599.96339786
7362000000.0,88310525.28072433,74615410.4136678
7369000000.0,88339919.83883144,74645214.91397125
7376000000.0,88370089.33735369,74675013.41695629
7383000000.0,88399264.88476478,74704805.8755213
7390000000.0,88427032.51398161,74734592.24281383
7397000000.0,88454196.44135912,74764372.472229
7404000000.0,88478567.22567262,74794146.51740849
7411000000.0,88502455.02712998,74823914.33223909
7418000000.0,88525466.85754803,74853675.87085147
7425000000.0,88548637.34219334,74883431.08761887
7432000000.0,88569988.92849478,74913179.9371557
7439000000.0,88594435.5848547,74942922.37431653
7446000000.0,88619610.80396716,74972658.35419472
7453000000.0,88646207.78521655,75002387.83212106
